"Nr. crt.","Client","CIF","Adresa","Incasare","Factura","Data incasarii","Moneda","Valoare Totala","Observatii"
"281","8d4f1f5d68185e7c24962b108b88827ce97761cc","b93c1de7ca594f52abc198d0b0f45613e01de6cc","24e08abc690f6530d8a934a6737870409bb7bd66","2106","11886","01/02/2024","RON","178.5",""
"280","d893d01c36e2dc40ff53f1f483f9a710fa9990c2","621ae5ca0ce83c96f2b1baca9e0bc0f57973de7f","b98d44522be1eeffd464dda82d71c7dbb2b646d4","2107","11887","01/02/2024","RON","178.5",""
"269","2a1e4ed38c0c3b4192898e709a67fbec95c253f7","0062430a1a60085b31f793a8829507e7b0f36af0","6bc57064006a1bdb70df35ca1acccbe09c264a37","2108","11636","01/02/2024","RON","0.5",""
"268","ebad1b8ab1541f8e1af095ac6012dc14e7fe6f88","59ffe2f9f7c45f39603c404b2599821c30657531","ebdaae10bbd831dc7ce803cb17468cb34288da45","2109","11765","01/02/2024","RON","0.9",""
"255","2d8af2ac7475af4be48b56d1a300d07ca7ba2620","75d81c29bb22e59539d77d8d8e1c43974a81bbe3","7fadde591edeb989e1cf596db5a96e1c2caa49f1","2110","11898","05/02/2024","RON","238",""
"254","9a61eb91b7a794ae453f9eeebf41d14c671df139","1c2096f3908408f0d0657a609c2004d91ea3327d","ccdb204d07916e5fc8ff2d603b9f13b840081a4b","2111","11899","05/02/2024","RON","238",""
"253","c694884ff5e46406734740e8e80292dfec2d40ef","20011cf3040b8c128e819c80e0dc93ce40eadc9c","138dce83c87d75ee820cecfc82abb5773522fb45","2112","11900","05/02/2024","RON","238",""
"252","ec54b643d2c2667c1b2c05f8556815413bf0217a","0993f16d6b3b7b96301e872df299b82e5f71f7f2","b99fbf4fd6ffe33acb52dfdef9e798bdd3448106","2113","11901","05/02/2024","RON","238",""
"251","f640d9e8bedbe5b666f937a865d416499492142c","baa7e0587d867131e8da82c2a5f7274d4dd9f6c5","c0db6e6f0394888aea2489b98498ab1102a2c539","2114","11902","05/02/2024","RON","297.5",""
"239","c4f821e8850d06fd6bfa9675d45d3b8adfdcb4fb","fa46c3099ca8a467d1f666bacdb186fdda28d900","001ee3f7d26e50f222fd4af859bd2fe91100b79b","2115","11907","06/02/2024","RON","107.1",""
"238","c4f821e8850d06fd6bfa9675d45d3b8adfdcb4fb","fa46c3099ca8a467d1f666bacdb186fdda28d900","001ee3f7d26e50f222fd4af859bd2fe91100b79b","2116","11428","06/02/2024","RON","214.2",""
"223","f640d9e8bedbe5b666f937a865d416499492142c","baa7e0587d867131e8da82c2a5f7274d4dd9f6c5","c0db6e6f0394888aea2489b98498ab1102a2c539","2117","11954","07/02/2024","RON","505.75",""
"194","46d12b6e839ea68b208f761a232957ecb66c1e6f","73fa3505185a191c0d15e1ebba7ac56630299ce1","48f56f3023d24a002e04775b5f6a0415c358934a","2118","11966","09/02/2024","RON","220",""
"193","edf64960b7e7055966d82e8afbb74c52e5e21c9e","25dd72e14f887b22b61e0ebbdce9b1c36a236569","a6b7931728a4864f7cb8d986e0ff074d59e7a5fa","2119","11967","09/02/2024","RON","297.5",""
"169","03f6e56337c54570b0bee10ea9bfefd14d36cc4b","4f1937d9b494d016cfa7641c8fa10211a3d28653","4cd4b0e47b1cbcf05e2d15f0afeed895a4c2c672","2120","11997","13/02/2024","RON","714",""
"168","2d6df7b2f3d3da72f76d8ab2447624dc415b2a66","e94e9214d614b370477bc0426ed9a5ed3992f280","e79bad6d283a3aade1a531e3c4298ddd87d33281","2121","12002","13/02/2024","RON","297.5",""
"151","773561ba69748fc758b3166a83cd31319e98fb2b","d7250d3e938dfc2814dcd4e5d67730c385b8770d","fccd752792f6cf3127f7ce58593a59f609277e62","2122","12022","14/02/2024","RON","238",""
"124","95531c4b7fe6c50033ec3332c1eb3bc075013f46","40e3353d7e3b547f81ade1aa5ab69f1e70e512fa","9afa2cc7bf92bdf4fa68fbe1b23c5a10510f6b95","2123","12030","19/02/2024","RON","178.5",""
"117","331e2f9449be25c812777b8d3c322ff3fe6f37ac","eb958a35d60494612f77255f7d003932e1d6e720","b44f185cb2774a3263e7be7a5b5b07f98cabd891","2124","11948","19/02/2024","RON","178.5",""
"116","331e2f9449be25c812777b8d3c322ff3fe6f37ac","eb958a35d60494612f77255f7d003932e1d6e720","b44f185cb2774a3263e7be7a5b5b07f98cabd891","2125","11830","19/02/2024","RON","357",""
"104","4903b1e2db5d4e55ade4b830b567ab029798349a","feaf5ee20bfe4b47a56446add1cfab38efeacbdc","871ebb45bf2fa801fc83f3ba21030591ce5b57ce","2126","12034","20/02/2024","RON","8",""
"90","2a1e4ed38c0c3b4192898e709a67fbec95c253f7","0062430a1a60085b31f793a8829507e7b0f36af0","6bc57064006a1bdb70df35ca1acccbe09c264a37","2127","11932","21/02/2024","RON","0.5",""
"88","0035a100861a3513b14e4e6f4d7f6a48187aa3fd","11665bf6cf69dd99b63d8095f1e8c6786dca99e4","70ee25603ff01b9ee186a383185076de368ecf21","2128","12051","22/02/2024","RON","35.7",""
"87","adeb2d95faef5943b1b8acbb910f5e6f2f372eb7","34c753138545b4a064197c45a862d713e024a9d1","53f3bfa033188a9cc3ac6b2ad13d605e8609997b","2129","12052","22/02/2024","RON","142.8",""
"69","e16625d0ac40965871ce4ef13d6b22fce5394051","c602de24cdf6d28afa570dacf02f2212c0be56ab","a8af1c09d7aeeed73512b9722cfe309f9613595e","2130","11764","23/02/2024","RON","10",""
"68","018cd47186e19ed365207d1b9f957ab9bc93ba2d","395bcdb5e59ca3ce211033263c7316743a08d4b1","ffccf4d18bcf65aeca44ecc5644331418503be92","2131","12076","23/02/2024","RON","238",""
"57","737a35667667d52b8614b3bc89f92dec60e037c0","d917e32d2b5076e45733a160bff094cf51aff10c","ba60791a62f9daded21328928b7adf25d6ee0ff9","2132","12082","26/02/2024","RON","892.5",""
"56","212aebd1e41575b8903fcd3100884554d91ca450","97ef8ebf3af0d230478e9551c7c0dfa56335d749","83c41fb8264fbd6de568da4f5edbceec4fbcda38","2133","12084","26/02/2024","RON","177.31",""
"55","70acc084f9b759dbcf3218da1b1083fc426553b3","8a23e9c2a94d7b4c0993185605d5caa7cacf1f92","d5cb4fbad0ae771f69d088b53797561caca2f847","2134","12085","26/02/2024","RON","208.25",""
"44","4d3f980ad950da47ed942f2c37e10fd7c9d0c9f5","a55313c742b9709226a5372f4bf6b200c4135bf1","519ff764496c381ed7f9774bde1172fb2d503dd0","2135","12096","27/02/2024","RON","297.5",""
"36","4168332d17bbd025510c602c5cc205cce674b139","1cbf0da3d95c63852809f83818c6f89b52c419c4","f9b502a922bfcfdcd966baf6d44c0ab25898332e","2136","12095","28/02/2024","RON","1011.5",""
"35","cd70bb40e5f68735dd31c0d78e3dfdaf213974d0","f215a98665ce94dd2e3a4431be152beec603046c","caf3d0d5ab5691d6362cd4fa6e620c6326bd93ff","2137","12152","28/02/2024","RON","297.5",""
"14","44b00e2579a1c32114df038fbc8b733a7d48a036","215817d7fb569aefc88f998f483ebf6ccc00bd8e","c5ace349193e2b6f0d42c96fb0ccdb26c6701542","2138","11709","29/02/2024","RON","606.9",""
